user_id,date,departure_time,day_of_week,distance_km,traffic_multiplier,peak_hour,mode,mode_encoded,eta_minutes,home_location_name,home_latitude,home_longitude,office_location_name,office_latitude,office_longitude
U001,2024-01-01,20:10,0,10.6,0.98,0,Bike,3,13.57,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-02,03:53,1,3.78,1.04,0,Bicycle,2,14.99,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-03,12:17,2,8.54,0.97,0,Bicycle,2,38.13,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-04,11:36,3,7.92,1.41,0,Walking,1,115.65,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-05,04:07,4,12.7,1.29,0,Walking,1,176.18,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-06,20:11,5,7.55,1.32,0,Bicycle,2,46.24,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-07,19:34,6,10.49,1.47,0,Car,0,19.79,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-08,04:41,0,4.06,1.08,0,Bicycle,2,14.13,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-09,20:31,1,11.07,1.03,0,Car,0,16.04,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-10,03:17,2,13.24,1.41,0,Bike,3,20.0,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-11,22:46,3,12.17,1.06,0,Bike,3,19.08,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-12,11:34,4,5.43,1.11,0,Bicycle,2,24.96,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-13,19:31,5,13.32,1.05,0,Car,0,27.63,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-14,07:22,6,6.73,1.47,0,Bike,3,12.17,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
U001,2024-01-15,12:46,0,12.76,1.08,0,Bike,3,15.99,0976 Monique Stravenue,13.086218,77.518255,Cruz Group,12.85679,77.777766
